code,name,kind,sido,pop,area,dens,e65,ealone,single,flood_r,ls_r,slope,coastal,border,rz_n,rz_per100,shel,shel_per10k
47190,구미시,시,경상북도,399917,617.1,648.1,0.1498,0.0931,0.4376,0.0148,0.0,13.53,0,0,14,2.27,169,4.23
47210,영주시,시,경상북도,92012,675.2,136.3,0.3409,0.2237,0.4805,0.0,0.0172,17.14,0,0,30,4.44,44,4.78
47230,영천시,시,경상북도,93847,917.4,102.3,0.37,0.2578,0.5422,0.0,0.0087,16.64,0,0,18,1.96,42,4.48
47250,상주시,시,경상북도,86871,1253.3,69.3,0.3921,0.2593,0.4983,0.0085,0.0035,16.25,0,0,22,1.76,44,5.06
47280,문경시,시,경상북도,62795,916.5,68.5,0.3883,0.2629,0.5135,0.0,0.0171,20.56,0,0,36,3.93,16,2.55
47290,경산시,시,경상북도,263171,412.3,638.3,0.2282,0.1406,0.4658,0.0,0.0035,15.14,0,0,25,6.06,46,1.75
47730,의성군,군,경상북도,47920,1171.0,40.9,0.5021,0.3235,0.5647,0.0,0.0004,16.61,0,0,31,2.65,5,1.04
47750,청송군,군,경상북도,24437,849.0,28.8,0.448,0.2749,0.544,0.0012,0.0156,21.68,0,0,26,3.06,7,2.86
47760,영양군,군,경상북도,15973,822.2,19.4,0.4413,0.2833,0.529,0.0247,0.0718,22.63,0,0,25,3.04,8,5.01
47770,영덕군,군,경상북도,30550,748.7,40.8,0.4539,0.3184,0.5564,0.0166,0.018,20.26,1,0,39,5.21,14,4.58
47820,청도군,군,경상북도,37453,692.1,54.1,0.472,0.3146,0.5517,0.0063,0.0042,20.95,0,0,18,2.6,13,3.47
47830,고령군,군,경상북도,29472,385.0,76.6,0.4143,0.2975,0.5588,0.0382,0.0012,15.74,0,0,16,4.16,3,1.02
